burner-mining-drill	1	2	"3 x iron-gear-wheel | 1 x stone-furnace | 3 x iron-plate"
inserter	1	0.5	"1 x electronic-circuit | 1 x iron-gear-wheel | 1 x iron-plate"
burner-inserter	1	0.5	"1 x iron-plate | 1 x iron-gear-wheel"
pipe	1	0.5	"1 x iron-plate"
offshore-pump	1	0.5	"2 x electronic-circuit | 1 x pipe | 1 x iron-gear-wheel"
copper-cable	2	0.5	"1 x copper-plate"
small-electric-pole	2	0.5	"2 x wood | 2 x copper-cable"
pistol	1	1	"5 x copper-plate | 5 x iron-plate"
submachine-gun	1	3	"10 x iron-gear-wheel | 5 x copper-plate | 10 x iron-plate"
firearm-magazine	1	2	"2 x iron-plate"
light-armor	1	3	"40 x iron-plate"
radar	1	0.5	"5 x electronic-circuit | 5 x iron-gear-wheel | 10 x iron-plate"
small-lamp	1	0.5	"1 x electronic-circuit | 3 x iron-stick | 1 x iron-plate"
pipe-to-ground	1	0.5	"10 x pipe | 5 x iron-plate"
assembling-machine-1	1	0.5	"3 x electronic-circuit | 5 x iron-gear-wheel | 9 x iron-plate"
repair-pack	1	0.5	"1 x electronic-circuit | 1 x iron-gear-wheel"
gun-turret	1	10	"10 x iron-gear-wheel | 10 x copper-plate | 20 x iron-plate"
night-vision-equipment	1	10	"5 x advanced-circuit | 10 x steel-plate"
energy-shield-equipment	1	10	"5 x advanced-circuit | 10 x steel-plate"
energy-shield-mk2-equipment	1	10	"10 x energy-shield-equipment | 10 x processing-unit"
battery-equipment	1	10	"5 x battery | 10 x steel-plate"
battery-mk2-equipment	1	10	"10 x battery-equipment | 20 x processing-unit"
solar-panel-equipment	1	10	"5 x solar-panel | 1 x processing-unit | 5 x steel-plate"
fusion-reactor-equipment	1	10	"100 x processing-unit | 30 x alien-artifact"
personal-laser-defense-equipment	1	10	"1 x processing-unit | 5 x steel-plate | 5 x laser-turret"
discharge-defense-equipment	1	10	"5 x processing-unit | 20 x steel-plate | 10 x laser-turret"
exoskeleton-equipment	1	10	"10 x processing-unit | 30 x electric-engine-unit | 20 x steel-plate"
personal-roboport-equipment	1	10	"10 x processing-unit | 40 x iron-gear-wheel | 20 x steel-plate | 45 x battery"
light-oil	3	5	"3 x water | 4 x heavy-oil"
petroleum-gas	2	5	"3 x water | 3 x light-oil"
sulfuric-acid	5	1	"5 x sulfur | 1 x iron-plate | 10 x water"
plastic-bar	2	1	"3 x petroleum-gas | 1 x coal"
solid-fuel	1	3	"1 x light-oil"
solid-fuel	1	3	"2 x petroleum-gas"
solid-fuel	1	3	"2 x heavy-oil"
sulfur	2	1	"3 x water | 3 x petroleum-gas"
lubricant	1	1	"1 x heavy-oil"
empty-barrel	1	1	"1 x steel-plate"
crude-oil-barrel	1	1	"25 x crude-oil | 1 x empty-barrel"
flame-thrower-ammo	1	3	"5 x iron-plate | 2.5 x light-oil | 2.5 x heavy-oil"
steel-plate	1	17.5	"5 x iron-plate"
long-handed-inserter	1	0.5	"1 x iron-gear-wheel | 1 x iron-plate | 1 x inserter"
fast-inserter	1	0.5	"2 x electronic-circuit | 2 x iron-plate | 1 x inserter"
filter-inserter	1	0.5	"1 x fast-inserter | 4 x electronic-circuit"
stack-inserter	1	0.5	"15 x iron-gear-wheel | 15 x electronic-circuit | 1 x advanced-circuit | 1 x fast-inserter"
stack-filter-inserter	1	0.5	"1 x stack-inserter | 5 x electronic-circuit"
speed-module	1	15	"5 x advanced-circuit | 5 x electronic-circuit"
speed-module-2	1	30	"4 x speed-module | 5 x processing-unit | 5 x advanced-circuit"
speed-module-3	1	60	"4 x speed-module-2 | 5 x advanced-circuit | 5 x processing-unit | 1 x alien-artifact"
productivity-module	1	15	"5 x advanced-circuit | 5 x electronic-circuit"
productivity-module-2	1	30	"4 x productivity-module | 5 x advanced-circuit | 5 x processing-unit"
productivity-module-3	1	60	"5 x productivity-module-2 | 5 x advanced-circuit | 5 x processing-unit | 1 x alien-artifact"
effectivity-module	1	15	"5 x advanced-circuit | 5 x electronic-circuit"
effectivity-module-2	1	30	"4 x effectivity-module | 5 x advanced-circuit | 5 x processing-unit"
effectivity-module-3	1	60	"5 x effectivity-module-2 | 5 x advanced-circuit | 5 x processing-unit | 1 x alien-artifact"
player-port	1	0.5	"10 x electronic-circuit | 5 x iron-gear-wheel | 1 x iron-plate"
fast-transport-belt	1	0.5	"5 x iron-gear-wheel | 1 x transport-belt"
express-transport-belt	1	0.5	"5 x iron-gear-wheel | 1 x fast-transport-belt | 2 x lubricant"
solar-panel	1	10	"5 x steel-plate | 15 x electronic-circuit | 5 x copper-plate"
assembling-machine-2	1	0.5	"9 x iron-plate | 3 x electronic-circuit | 5 x iron-gear-wheel | 1 x assembling-machine-1"
assembling-machine-3	1	0.5	"4 x speed-module | 2 x assembling-machine-2"
car	1	0.5	"8 x engine-unit | 20 x iron-plate | 5 x steel-plate"
tank	1	0.5	"16 x engine-unit | 50 x steel-plate | 15 x iron-gear-wheel | 5 x advanced-circuit"
rail	2	0.5	"1 x stone | 1 x iron-stick | 1 x steel-plate"
diesel-locomotive	1	0.5	"20 x engine-unit | 10 x electronic-circuit | 30 x steel-plate"
cargo-wagon	1	0.5	"10 x iron-gear-wheel | 20 x iron-plate | 20 x steel-plate"
train-stop	1	0.5	"5 x electronic-circuit | 10 x iron-plate | 3 x steel-plate"
rail-signal	1	0.5	"1 x electronic-circuit | 5 x iron-plate"
rail-chain-signal	1	0.5	"1 x electronic-circuit | 5 x iron-plate"
heavy-armor	1	8	"100 x copper-plate | 50 x steel-plate"
modular-armor	1	15	"30 x advanced-circuit | 5 x processing-unit | 50 x steel-plate"
power-armor	1	20	"40 x processing-unit | 20 x electric-engine-unit | 40 x steel-plate | 10 x alien-artifact"
power-armor-mk2	1	25	"5 x effectivity-module-3 | 5 x speed-module-3 | 40 x processing-unit | 40 x steel-plate | 50 x alien-artifact"
iron-chest	1	0.5	"8 x iron-plate"
steel-chest	1	0.5	"8 x steel-plate"
stone-wall	1	0.5	"5 x stone-brick"
gate	1	0.5	"1 x stone-wall | 2 x steel-plate | 2 x electronic-circuit"
flame-thrower	1	10	"5 x steel-plate | 10 x iron-gear-wheel"
land-mine	4	5	"1 x steel-plate | 2 x explosives"
rocket-launcher	1	5	"5 x iron-plate | 5 x iron-gear-wheel | 5 x electronic-circuit"
shotgun	1	4	"15 x iron-plate | 5 x iron-gear-wheel | 10 x copper-plate | 5 x wood"
combat-shotgun	1	8	"15 x steel-plate | 5 x iron-gear-wheel | 10 x copper-plate | 10 x wood"
railgun	1	8	"15 x steel-plate | 15 x copper-plate | 10 x electronic-circuit | 5 x advanced-circuit"
science-pack-1	1	5	"1 x copper-plate | 1 x iron-gear-wheel"
science-pack-2	1	6	"1 x inserter | 1 x transport-belt"
science-pack-3	1	12	"1 x battery | 1 x advanced-circuit | 1 x filter-inserter | 1 x steel-plate"
alien-science-pack	10	12	"1 x alien-artifact"
lab	1	5	"10 x electronic-circuit | 10 x iron-gear-wheel | 4 x transport-belt"
red-wire	1	0.5	"1 x electronic-circuit | 1 x copper-cable"
green-wire	1	0.5	"1 x electronic-circuit | 1 x copper-cable"
underground-belt	1	1	"10 x iron-plate | 5 x transport-belt"
fast-underground-belt	1	0.5	"20 x iron-gear-wheel | 2 x underground-belt"
express-underground-belt	1	0.5	"40 x iron-gear-wheel | 2 x fast-underground-belt | 4 x lubricant"
loader	1	1	"5 x inserter | 5 x electronic-circuit | 5 x iron-gear-wheel | 5 x iron-plate | 5 x transport-belt"
fast-loader	1	3	"5 x fast-transport-belt | 1 x loader"
express-loader	1	10	"5 x express-transport-belt | 1 x fast-loader"
splitter	1	1	"5 x electronic-circuit | 5 x iron-plate | 4 x transport-belt"
fast-splitter	1	2	"1 x splitter | 10 x iron-gear-wheel | 10 x electronic-circuit"
express-splitter	1	2	"1 x fast-splitter | 10 x iron-gear-wheel | 10 x advanced-circuit | 8 x lubricant"
advanced-circuit	1	8	"2 x electronic-circuit | 2 x plastic-bar | 4 x copper-cable"
processing-unit	1	15	"20 x electronic-circuit | 2 x advanced-circuit | 0.5 x sulfuric-acid"
logistic-robot	1	0.5	"1 x flying-robot-frame | 2 x advanced-circuit"
construction-robot	1	0.5	"1 x flying-robot-frame | 2 x electronic-circuit"
logistic-chest-passive-provider	1	0.5	"1 x steel-chest | 3 x electronic-circuit | 1 x advanced-circuit"
logistic-chest-active-provider	1	0.5	"1 x steel-chest | 3 x electronic-circuit | 1 x advanced-circuit"
logistic-chest-storage	1	0.5	"1 x steel-chest | 3 x electronic-circuit | 1 x advanced-circuit"
logistic-chest-requester	1	0.5	"1 x steel-chest | 3 x electronic-circuit | 1 x advanced-circuit"
rocket-silo	1	30	"1000 x steel-plate | 1000 x concrete | 100 x pipe | 200 x processing-unit | 200 x electric-engine-unit"
roboport	1	15	"45 x steel-plate | 45 x iron-gear-wheel | 45 x advanced-circuit"
steel-axe	1	0.5	"5 x steel-plate | 2 x iron-stick"
big-electric-pole	1	0.5	"5 x steel-plate | 5 x copper-plate"
substation	1	0.5	"10 x steel-plate | 5 x advanced-circuit | 5 x copper-plate"
medium-electric-pole	1	0.5	"2 x steel-plate | 2 x copper-plate"
accumulator	1	10	"2 x iron-plate | 5 x battery"
steel-furnace	1	3	"8 x steel-plate | 10 x stone-brick"
electric-furnace	1	5	"15 x steel-plate | 5 x advanced-circuit | 10 x stone-brick"
beacon	1	15	"20 x electronic-circuit | 20 x advanced-circuit | 10 x steel-plate | 10 x copper-cable"
blueprint	1	1	"1 x advanced-circuit"
blueprint-book	1	5	"15 x advanced-circuit"
deconstruction-planner	1	1	"1 x advanced-circuit"
pumpjack	1	20	"15 x steel-plate | 10 x iron-gear-wheel | 10 x electronic-circuit | 10 x pipe"
oil-refinery	1	20	"15 x steel-plate | 10 x iron-gear-wheel | 10 x stone-brick | 10 x electronic-circuit | 10 x pipe"
engine-unit	1	20	"1 x steel-plate | 1 x iron-gear-wheel | 2 x pipe"
electric-engine-unit	1	20	"1 x engine-unit | 2 x lubricant | 2 x electronic-circuit"
flying-robot-frame	1	20	"1 x electric-engine-unit | 2 x battery | 1 x steel-plate | 3 x electronic-circuit"
explosives	1	5	"1 x sulfur | 1 x coal | 1 x water"
battery	1	5	"2 x sulfuric-acid | 1 x iron-plate | 1 x copper-plate"
storage-tank	1	3	"20 x iron-plate | 5 x steel-plate"
small-pump	1	2	"1 x electric-engine-unit | 1 x steel-plate | 1 x pipe"
chemical-plant	1	10	"5 x steel-plate | 5 x iron-gear-wheel | 5 x electronic-circuit | 5 x pipe"
small-plane	1	30	"100 x plastic-bar | 200 x advanced-circuit | 20 x electric-engine-unit | 100 x battery"
arithmetic-combinator	1	0.5	"5 x copper-cable | 5 x electronic-circuit"
decider-combinator	1	0.5	"5 x copper-cable | 5 x electronic-circuit"
constant-combinator	1	0.5	"5 x copper-cable | 2 x electronic-circuit"
power-switch	1	2	"5 x iron-plate | 5 x copper-cable | 2 x electronic-circuit"
low-density-structure	1	30	"10 x steel-plate | 5 x copper-plate | 5 x plastic-bar"
rocket-fuel	1	30	"10 x solid-fuel"
rocket-control-unit	1	30	"1 x processing-unit | 1 x speed-module"
rocket-part	1	3	"10 x low-density-structure | 10 x rocket-fuel | 10 x rocket-control-unit"
satellite	1	3	"100 x low-density-structure | 100 x solar-panel | 100 x accumulator | 5 x radar | 100 x processing-unit | 50 x rocket-fuel"
concrete	10	10	"5 x stone-brick | 1 x iron-ore | 10 x water"
hazard-concrete	10	0.25	"10 x concrete"
landfill	1	0.5	"20 x stone"
electric-energy-interface	1	0.5	"2 x iron-plate | 5 x electronic-circuit"
laser-turret	1	20	"20 x steel-plate | 20 x electronic-circuit | 12 x battery"
flamethrower-turret	1	20	"30 x steel-plate | 15 x iron-gear-wheel | 10 x pipe | 5 x engine-unit"
